iter	Passed	Remaining
400	20068	29977
401	20116	29924
402	20160	29866
403	20206	29809
404	20249	29749
405	20300	29700
406	20350	29650
407	20408	29611
408	20461	29566
409	20513	29520
410	20556	29458
411	20604	29406
412	20636	29330
413	20680	29272
414	20717	29204
415	20761	29146
416	20800	29080
417	20851	29032
418	20902	28983
419	20942	28921
420	20982	28857
421	21025	28797
422	21071	28743
423	21124	28697
424	21167	28638
425	21215	28586
426	21258	28526
427	21308	28478
428	21350	28417
429	21399	28367
430	21459	28330
431	21492	28259
432	21529	28191
433	21564	28123
434	21614	28074
435	21658	28016
436	21703	27960
437	21750	27908
438	21800	27859
439	21830	27784
440	21862	27712
441	21893	27639
442	21934	27578
443	21985	27531
444	22035	27482
445	22086	27435
446	22126	27374
447	22158	27302
448	22214	27261
449	22256	27202
450	22308	27156
451	22351	27098
452	22396	27043
453	22447	26996
454	22491	26940
455	22526	26873
456	22584	26834
457	22637	26789
458	22692	26746
459	22744	26700
460	22798	26655
461	22850	26609
462	22906	26567
463	22951	26512
464	23010	26474
465	23066	26431
466	23117	26385
467	23168	26337
468	23219	26289
469	23270	26241
470	23322	26194
471	23376	26149
472	23424	26098
473	23481	26057
474	23524	26000
475	23586	25965
476	23628	25907
477	23684	25864
478	23738	25820
479	23793	25776
480	23842	25725
481	23898	25683
482	23947	25633
483	24001	25588
484	24054	25542
485	24112	25501
486	24158	25447
487	24216	25407
488	24257	25348
489	24319	25312
490	24376	25269
491	24436	25231
492	24483	25179
493	24527	25123
494	24572	25068
495	24621	25018
496	24671	24969
497	24724	24923
498	24777	24877
499	24835	24835
500	24885	24786
501	24940	24741
502	24990	24692
503	25046	24648
504	25096	24599
505	25149	24552
506	25203	24507
507	25261	24466
508	25313	24418
509	25363	24369
510	25416	24322
511	25472	24278
512	25521	24228
513	25571	24178
514	25622	24129
515	25672	24080
516	25716	24025
517	25768	23977
518	25812	23922
519	25865	23875
520	25910	23821
521	25966	23778
522	26017	23728
523	26074	23686
524	26118	23630
525	26171	23583
526	26205	23520
527	26253	23469
528	26299	23415
529	26349	23366
530	26405	23322
531	26444	23263
532	26496	23215
533	26543	23163
534	26589	23110
535	26631	23053
536	26676	23000
537	26723	22948
538	26774	22899
539	26822	22848
540	26884	22809
541	26938	22763
542	26981	22708
543	27020	22649
544	27063	22594
545	27111	22543
546	27165	22497
547	27210	22443
548	27259	22393
549	27306	22341
550	27356	22291
551	27401	22239
552	27453	22191
553	27500	22139
554	27550	22090
555	27599	22039
556	27652	21993
557	27694	21937
558	27752	21894
559	27796	21840
560	27852	21795
561	27886	21733
562	27939	21686
563	27988	21636
564	28039	21587
565	28093	21541
566	28144	21492
567	28189	21439
568	28240	21391
569	28284	21337
570	28337	21290
571	28378	21234
572	28421	21179
573	28470	21129
574	28505	21068
575	28560	21023
576	28607	20972
577	28653	20919
578	28698	20867
579	28748	20817
580	28782	20756
581	28827	20704
582	28874	20652
583	28929	20607
584	28977	20556
585	29026	20506
586	29082	20462
587	29127	20409
588	29177	20359
589	29220	20305
590	29284	20266
591	29332	20215
592	29378	20163
593	29420	20109
594	29464	20055
595	29507	20001
596	29551	19948
597	29599	19898
598	29629	19835
599	29686	19790
600	29720	19731
601	29772	19683
602	29826	19636
603	29871	19584
604	29924	19537
605	29967	19483
606	30021	19437
607	30065	19384
608	30108	19330
609	30155	19279
610	30202	19228
611	30242	19173
612	30288	19121
613	30337	19072
614	30393	19026
615	30443	18978
616	30485	18923
617	30536	18875
618	30580	18822
619	30622	18768
620	30672	18719
